food,Caloric Value,Fat,Carbohydrates
bakers yeast dry,13,0.3,1.6
almond paste,1040,63.0,108.5
cream of tartar,8,0.0,1.8
popover dry mix,631,7.3,120.7
egg substitute powder,126,3.7,6.2
gelatin powder,17,0.086,0.0
tapioca pearls,544,0.093,134.8
baking powder,2,0.0,1.3
egg boiled,93,6.4,0.7
millet flour,444,5.1,86.9
triticale flour,439,2.4,95.1
corn flour white,414,4.2,87.3
rice flour brown,574,4.4,120.8
sorghum flour,437,4.0,93.7
cornmeal whole grain,442,4.4,93.8
cornmeal white,581,2.7,124.7
barley flour,511,2.4,110.3
safflower seed meal,97,0.7,13.8
sesame flour,658,46.4,33.3
whole grain wheat flour,408,3.0,86.4
corn flour yellow,422,4.5,89.9
corn flour whole grain,422,4.5,89.9
cottonseed flour low fat,94,0.4,10.2
sunflower seed flour,13,0.013,1.4
sesame meal,160,13.6,7.4
acorn flour,626,37.7,68.3
rice flour white,578,2.2,126.6
sesame flour low fat,94,0.5,10.0
potato flour,571,0.5,133.0
cornmeal yellow,581,2.7,124.7
rye flour,364,1.4,78.2
arrowroot flour,457,0.1,112.8
chickpea flour,356,6.2,53.2
wheat flour,455,1.2,95.4
cornstarch,488,0.03,116.8
carob flour,13,0.061,5.3
buckwheat flour,402,3.7,84.7
pecan pie,503,27.1,63.7
apple pie,331,15.6,46.4
vanilla wafer pie crust,935,63.7,88.4
chocolate pie crust,881,40.8,117.4
apple strudel,195,8.0,29.2
chocolate snack cake,200,8.0,30.2
fruit fried pie,404,20.6,54.5
pumpkin pie,316,14.4,40.9
corn cake,35,0.2,7.5
sponge snack cake,157,4.8,26.9
danish pastry with nuts,280,16.4,29.7
chocolate cream pie,301,19.2,33.3
angel food cake,72,0.2,16.2
lemon meringue pie,362,16.4,49.7
danish pastry with cinnamon,349,16.7,46.9
cinnamon coffeecake,238,13.3,26.6
cheesecake,257,18.0,20.4
fruitcake,139,3.9,26.5
egg custard,293,12.9,31.0
mince pie,477,17.8,79.2
yellow cake with chocolate frosting,546,25.6,79.7
danish pastry with fruit,335,15.9,45.1
white cake with coconut frosting,399,11.5,70.8
danish pastry with cheese,353,24.6,28.7
graham cracker pie crust,917,45.4,117.7
blueberry pie,360,17.5,49.2
yellow cake with vanilla frosting,239,9.3,37.6
pie crust,121,8.0,10.9
chocolate cake with chocolate frosting,537,27.7,72.9
cheese coffeecake,258,11.6,33.7
vanilla cream pie,350,18.1,41.1
pineapple cake,367,13.9,58.1
peach pie,262,11.7,38.5
fruit coffeecake,156,5.1,25.8
pound cake,116,6.0,14.6
pound cake bread,215,9.6,28.2
white cake,264,9.2,42.3
coffeecake with chocolate frosting,298,9.7,48.4
popcorn cake,38,0.3,8.0
banana cream pie,3190,161.3,390.2
baked apple pie mcdonalds,91,4.4,12.3
sponge cake,187,2.7,36.4
yellow cake,245,9.9,36.0
shortcake,98,4.0,13.7
cherry pie,486,22.0,69.3
dutch apple pie,397,15.8,61.0
chocolate cake,352,14.3,50.7
marshmallow,64,0.033,16.3
sugar apple,72,0.2,18.2
toffee,67,3.9,7.8
vanilla fudge with nuts,123,3.9,21.1
peanuts chocolate coated,21,1.3,2.0
caramel with nuts chocolate coated,66,2.9,8.5
gingerbread,263,12.1,36.4
rolo nestle,24,1.0,0.2
vanilla fudge,108,1.5,23.2
halavah,328,15.1,42.3
praline,189,10.1,23.2
fruit juice bar,67,0.089,15.6
peanut brittle,138,5.4,20.2
butterscotch,21,0.2,4.8
chocolate coffee beans,155,9.4,15.6
nougat with almonds,56,0.2,12.9
carob,135,7.8,14.1
peanut butter fudge,62,1.1,12.4
sugar coated almonds,17,0.6,2.4
chocolate coated marshmallow,118,4.7,19.0
raisins chocolate coated,390,14.8,68.4
chewing gum sugarless,5,0.013,1.9
chewing gum,11,0.032,2.9
chocolate syrup,109,0.4,25.4
chocolate fudge syrup,67,1.7,12.0
m ms milk chocolate mars,207,8.9,29.9
milk chocolate with almonds,216,14.1,21.9
chocolate fudge,70,1.8,13.0
milk chocolate with rice cereal,0,0.0,0.0
m ms peanut chocolate mars,93,4.7,10.9
dark chocolate,165,9.7,18.0
chocolate semisweet,806,50.4,107.4
